user,url,komentar
dzikrinadh,https://www.instagram.com/dzikrinadh/,"Medsos hanyalah salah satu  penghubung antara penjual dan pembeli. Selama tidak ada perbaikan regulasi thdp masuknya barang konsumen impor dan keberpihakan kpd pengusaha lokal, sampai kapanpun umkm akan sulit berkompetisi, baik berjualan online maupun offline"
rianadsptra_,https://www.instagram.com/rianadsptra_/,Yang kagak main tidtod kumpul sini☝🏿
alphires__,https://www.instagram.com/alphires__/,
_anpratama,https://www.instagram.com/_anpratama/,ga sekalian fb marketplace juga pak?🥲
acekueqaweqaweq,https://www.instagram.com/acekueqaweqaweq/,Pengen jalan-jalan Ke desa sukamaju
ivandikaadityarohman,https://www.instagram.com/ivandikaadityarohman/,Congorono aku ae pak😢
genta_apriyanto,https://www.instagram.com/genta_apriyanto/,baa lai tu?
randyntenk,https://www.instagram.com/randyntenk/,Praktik-praktik kapitalisme memang harus dibatasi sih. Hha
akhmadrafif_,https://www.instagram.com/akhmadrafif_/,ribet
goaw4yy,https://www.instagram.com/goaw4yy/,"Mbuh ,ga prnh bli di tt shop 😴"
xyzz_rafelino,https://www.instagram.com/xyzz_rafelino/,Blm di blokir heyy
putriamaliiaa_,https://www.instagram.com/putriamaliiaa_/,Baru kemarin ngracuni ibun suruh belanja di tt shop wkwk
salsa.mine,https://www.instagram.com/salsa.mine/,maassss
afifahamini_,https://www.instagram.com/afifahamini_/,gmn nihhh😪😪
afifahamini_,https://www.instagram.com/afifahamini_/,"Aku malas keluar rumah liss,, 🤤"
fredoaquinaldo,https://www.instagram.com/fredoaquinaldo/,"Pdhal ga ngefek, ANEH BGT 😂"
anggorowicza,https://www.instagram.com/anggorowicza/,"Di comment malah banyak yang belain emang seminim itukah critical thinking nya? Kenapa seolah2 isu ini dinarasikan perseteruan antara tiktod dan pedagang tanah abang? Padahal kebijakan yg diambil pemerintah buat stop tiktodsyop bagus buat mencegah hancurnya UMKM di Indonesia. Ingat, 60% roda perekonomian kita digerakkan oleh UMKM, kalian bayangin aja daya rusaknya kayak apa kalo keputusan ini gak jadi diambil dan diterapkan segara."
bilal_ptria,https://www.instagram.com/bilal_ptria/,kurir tiktok shop : lu asik banget bang
geby_yuandita,https://www.instagram.com/geby_yuandita/,Alhamdulillah teman-temanku biar bisa hemat🙏🏻
cicijenner214,https://www.instagram.com/cicijenner214/,"Tolong bedain ya, bukan UMKM tidak maju. Saya dan Kakak saya pernah bisni baju lokal, sudah promote ini itu faktanya kalah sama produk luar, terutama China. Ditambah lagi produsen ikut jualan dengan harga banting jauh parah. Terus distributor nasibnya gimana? 😂 FYP tiktok itu jahat ya, dia lebih merekomendasikan produk luar dan produk besar. Bisa mati lama-lama ekonomi Indonesia karena rantai jual belinya yang berantakan, tidak akan terjadi perputaran ekonomi lagi."
rszydmz_,https://www.instagram.com/rszydmz_/,"Jumlah pedagang di tiktok shop lebih banyak dri pedagang di tanah abang, ada berpa puluh atau bahkan brpa jta org yg hrs stop berjualan di tiktok shop, sebagai penjual di tiktok shop hrsnya bisa demo balik pemerintah, zaman sudah berkembang degn pesat, tapi masyrakat kita smdiri yg gk mau berkembang, malah nyalahin teknologi"
wsjrc,https://www.instagram.com/wsjrc/,MENDING URUS KAPARAT KORUPSI DRPD TIKTOK CUIH
reksy___,https://www.instagram.com/reksy___/,runkad gara gara slot
krishnadi_pangawira,https://www.instagram.com/krishnadi_pangawira/,Persis kayak Kebijakan Benteng Soekarno... 😂 kalau ga bisa mengembangkan diri ya bunuh lawan. 👉🏿🤪👈🏿
mh.irhmm_,https://www.instagram.com/mh.irhmm_/,😢
alf.snctry,https://www.instagram.com/alf.snctry/,"edukasi singkat aja, kemungkinan langkah dari pemerintah untuk melakukan banning tersebut merupakan hal yang positif untuk produk dan umkm pure asal indonesia, mengapa demikian? karena pada dasarnya tiktok punya algorithm sendiri untuk merekomendasikan apa yang bisa atau tidak kita lihat dalam platform tersebut, kalau ada yang bilang ""INI MEMATIKAN UMKM DAN TIDAK BISA MENGIKUTI PERKEMBANGAN ZAMAN!"" well, saran gw tahan dulu argumentasi tersebut, chart bahkan menunjukan bahwa produk asli indonesia sendiri dibabat habis oleh produk china karena salah satunya teknik marketing jenius dari mereka dengan platform tiktok tersebut, kok bisa? kecenderungan diri untuk membeli sesuatu yang bagus dan murah itu udah mengakar dari diri kita sebagai orang indonesia bahkan sampai melupakan fakta bahwa produk yang kita beli ialah produk asing dan bukan produk indonesia yang berimbas pada kerugian kita sendiri, karena umkm dan usaha lokal itu ga dapet keuntungan ataupun defisit. jadi langkah pemerintah mungkin hanya untuk bisa memutar uang rupiah kepada sesama pemegang rupiah (bisnis lokal) sehingga tidak kalah valuenya dengan asing dan bisa mengembangkan potensi melawan asing."
cakraaaglh,https://www.instagram.com/cakraaaglh/,"balik lagi ke penjual,dia bisa berjualan dimanapun dan dengan cara dia sendiri untuk menarik pelanggan,umkm indonesia juga skrng bnyk yg mulai ngikut perkembangan jaman dengan berjualan di tiktok"
yehsaananta_,https://www.instagram.com/yehsaananta_/,Lolz
rszydmz_,https://www.instagram.com/rszydmz_/,HALOOWWWW APA KABAR PENJUALAN DI TANAH ABANG YG JUALAN PRODUK IMPORRRRRT AHHAHAHA  APA BERJUALAN PRODUK IMPORT JGA BISA DI BILANG UMKM?
rszydmz_,https://www.instagram.com/rszydmz_/,"Jumlah pedagang di tiktok shop lebih banyak dri pedagang di tanah abang, ada berpa puluh atau bahkan brpa jta org yg hrs stop berjualan di tiktok shop, sebagai penjual di tiktok shop hrsnya bisa demo balik pemerintah, zaman sudah berkembang degn pesat, tapi masyrakat kita smdiri yg gk mau berkembang, malah nyalahin teknologi"
sselpim,https://www.instagram.com/sselpim/,Mending yg di tanah abang ikut jualan di tiktok dahh
fatimatussaadh,https://www.instagram.com/fatimatussaadh/,😢😢
imkareennn_,https://www.instagram.com/imkareennn_/,waduhh gimana ni bray
windusptr,https://www.instagram.com/windusptr/,
suraraaaa,https://www.instagram.com/suraraaaa/,enak tku ng tiktok bjir gk ribet
rszydmz_,https://www.instagram.com/rszydmz_/,HALOOWWWW APA KABAR PENJUALAN DI TANAH ABANG YG JUALAN PRODUK IMPORRRRRT AHHAHAHA  APA BERJUALAN PRODUK IMPORT JGA BISA DI BILANG UMKM?
nur_taufik_hidayat,https://www.instagram.com/nur_taufik_hidayat/,nya bener tutup lah  watir kalah produk cina nu laku teh. karunya UMKM urang jadi terpuruk😢
aulialfs,https://www.instagram.com/aulialfs/,
alfiyyahss,https://www.instagram.com/alfiyyahss/,check out mko cepat
wf.kuylo,https://www.instagram.com/wf.kuylo/,ngna pe barang bagimna nasib tu
rezhsaputra,https://www.instagram.com/rezhsaputra/,ribet
mhmdfhm___,https://www.instagram.com/mhmdfhm___/,"emang orang kaya ga boleh  jualan ?? kok nutup rejeki orang ?selama ga curang dan ga haram ya kenapa, harus nya yg emang merasa kurang yaa kreatif dikit dan mau belajar, sdm kok di support mundur 😒😒"
daminaae,https://www.instagram.com/daminaae/,yang komen “itu shopee tokped ga ditutup?” fix salah satu minimnya rakyat cerdas di Indonesia😃🙏🏻
muhagung5821,https://www.instagram.com/muhagung5821/,"Ga ngaruh sih.. promosi di tiktok trs buat chekout diarahin ke marketplace kek shopee/toped. Ya kalo mao rame bersaing yg bener lah.. kek tanah abang aja org lama² mls ke situ udah macet, parkir susah n mahal, agak kumuh, banyak copet. Hrsnya diatasin dulu masalah begituan biar jadi daya tarik orang buat kesana, jangan malah intervensi pihak laen"
teyeng_wakatobi,https://www.instagram.com/teyeng_wakatobi/,"Tiktokers shop ""INFO LOKER PUH SEPUH""😂"
om_bewokkk,https://www.instagram.com/om_bewokkk/,GUA GA PERNAH RESPECT SAMA INDONESIA JAMAN SEKARANG. GUA CUMAN RESPECT SAMA INDONESIA JAMAN DULU (JAMAN PERJUANGAN).
125berrypunch,https://www.instagram.com/125berrypunch/,Kenapa yg dipasar gak belajar untuk jualan online juga? Kan nyambi yak? Di Pasar Andir Bandung udh banyak pdhl yg jualan offline nyambi online jg malah sambil live di pasar😂
athallash,https://www.instagram.com/athallash/,Kenapa Indonesia ga buat aplikasi kayak tiktok yg bisa kasih entertainment dan commerce?
sndyaagstn,https://www.instagram.com/sndyaagstn/,pdhl baru mulai😢
riianes_,https://www.instagram.com/riianes_/,Kan Shopee ladaza Tokopedia itu semua platform belanja online jua. Knp kd dihapus jua?
_alfredgregory,https://www.instagram.com/_alfredgregory/,Baru mau jadi affiliator hmmm🙃
mhmdrakha_aa,https://www.instagram.com/mhmdrakha_aa/,Tiktok colab bareng shopee 😮
riianes_,https://www.instagram.com/riianes_/,Masalahnya orang orang pada males keluar rumah untuk membeli sesuatu ke tanah abang. Kenapa tiktok shop yg disalahkan????
bimodtya,https://www.instagram.com/bimodtya/,
andreazjosafat_,https://www.instagram.com/andreazjosafat_/,"Waduu mana skincare kebanyakan promonya di tiktok. Di tempat lain, mana ada kasih 1 set harga murah kek tiktok🥲"
restuaageng,https://www.instagram.com/restuaageng/,Harusnya kalau takut UMKM kecil dan menengah kurang dalam penjualan diberi pelatihan pemanfaatan IOT bukan malah ngelarang tiktok shop jualan.. kocak...
agustryagainn,https://www.instagram.com/agustryagainn/,Langkah pemerintah sudah bener sih kemarin gw buka fb di salah satu grub ada yg berkeluh kesah dia sebagai pegawai konter hp dimana dia nunjukin brosur harga hp dan itu resmi dari produsen  eh di tiktok ada influencer/youtuber  yg jual dibawah harga produsen dan selisih harga ny lumayan jauh
mhmadiiqbal,https://www.instagram.com/mhmadiiqbal/,"Kenapa toko orenge aman aman aja jirr , heran guamh tiktok keknya lagi diatas bnyk tersaingi ecommers lain nih pasti"
kmrpldy,https://www.instagram.com/kmrpldy/,"Wajar sih sampe dilarang soalnya algoritma tiktok jahat banget kasian umkm yg dagangannya jadi sepi, walaupun mereka udah mencoba berjualan lewat tiktok juga tapi tetep kalah saing  karna algoritma tiktok  yg lebih menguntungkan produk produk asal china"
rondweasley,https://www.instagram.com/rondweasley/,Mau aktif tiktok lagi deh kalo emng valid
wildan_aziz14,https://www.instagram.com/wildan_aziz14/,Tim yg ga punya apk Tiktok 🙌
ivandikaadityarohman,https://www.instagram.com/ivandikaadityarohman/,Congorono aku ae pak😢
rifqi.bachtiar,https://www.instagram.com/rifqi.bachtiar/,lama lama toped shopee apus sekalian
zahramuhk,https://www.instagram.com/zahramuhk/,Waduh padahal merdeka di tiktok 😢 lagi bagus2nya online padahal
itplmbng_,https://www.instagram.com/itplmbng_/,gwencanahh yo
_09mimii_,https://www.instagram.com/_09mimii_/,affaahh iyaahh????
anjaskumaran,https://www.instagram.com/anjaskumaran/,Hah kok gitu sih
ridwanuser,https://www.instagram.com/ridwanuser/,gimana ya tiktok sebenernya ngerusak supply chain barang yang di pake hari. kalo warung dah sepi dan pada ga buka lagi butuh apa apa mesti online. ribet kaga tuh. kalo online dah berkuasa ya bakalan ada lagi tuh promo promo dan ujung ujungnya nanti harga pengriman pasti akan naik. itu semua mereka lagi pada bakar duit jadi ya gitulah
azisennn_,https://www.instagram.com/azisennn_/,kocak😂
abdannabani,https://www.instagram.com/abdannabani/,"Dih ngatur, emang lo sape?"
anandabagusdwislamy,https://www.instagram.com/anandabagusdwislamy/,Yuk celana pendeknya 99 ribu dapet 10 pcs
mhammadazii,https://www.instagram.com/mhammadazii/,"Kalau memperlakukan peraturan demikian, seharusnya pemerintah juga membarengi dengan ketersedian stok stok barang di daerah kami yang cukup jauh dari ibukota,, sekaligu memberikan subsidi potongan harga layaknya tiktok shop"
herman2512c,https://www.instagram.com/herman2512c/,"saya sangat setuju, cukup e-commerce saja tmpt belanja online dan tdk untuk social commerce"
lukisantergores,https://www.instagram.com/lukisantergores/,Piye
putrifriss_,https://www.instagram.com/putrifriss_/,pantes banyak diskon di tiktok
ellysabellaa,https://www.instagram.com/ellysabellaa/,Wkwkw
budimarta_mc,https://www.instagram.com/budimarta_mc/,"Di kata online ga punya masalah kalik, tiktok juga sekarang mulai sepi di gerus ARTIS affiliator. UMKM lu kata di online ga engep tiap hari triak2 di live, emang daya beli tahun ini juga lagi menurun, jangan tutup 1 pihak ajah"
keishavlyn,https://www.instagram.com/keishavlyn/,PANTESAN BANYAK ORG KULIAH DILUAR KGK BALIK ORG LAPANGAN KERJANYE BEGINI
fitarhnwti_,https://www.instagram.com/fitarhnwti_/,Kasian umkm yang ngandelin tiktok krna media promosi mereka lebih mudah ditiktok🥺
ahmadkrb,https://www.instagram.com/ahmadkrb/,😂
langsupernova,https://www.instagram.com/langsupernova/,Tanda indonesia belum maju😍
1chi_alov,https://www.instagram.com/1chi_alov/,"Belum pernah nyoba tiktok shop tau"" dah tutup aja"
rizqirhh,https://www.instagram.com/rizqirhh/,emngnya kami yg dikalimantan bisa belii ke tanah abang😳
aryalba,https://www.instagram.com/aryalba/,Apakah aku harus beralih jadi haheeeeng nih kalo kek gini?
riya__yaak,https://www.instagram.com/riya__yaak/,Nggak punya tik tok
farhannalf,https://www.instagram.com/farhannalf/,Toko oren senyum tipis
ctrl.fun,https://www.instagram.com/ctrl.fun/,wkwk
andywic31,https://www.instagram.com/andywic31/,Yg ngemis ngemis juga dong pak
awan_dermawann,https://www.instagram.com/awan_dermawann/,Yakin mereka ngelakuin ini demi UMKM ?? Gua mah kagak percaya palingan juga biar ada pemasukan
dianayumita,https://www.instagram.com/dianayumita/,ha ?
aslipurwokerto,https://www.instagram.com/aslipurwokerto/,Padahal temenku baru aja tek masukin keranjang kuning 😢
ryllllaa,https://www.instagram.com/ryllllaa/,wadidaw 😂
_dewiafriyanti,https://www.instagram.com/_dewiafriyanti/,aih
vinacuuuuu,https://www.instagram.com/vinacuuuuu/,Butuh loker ni buat kehidupan gimana ini??
_____idna,https://www.instagram.com/_____idna/,piye jal ngene ki
putriinazizah,https://www.instagram.com/putriinazizah/,anjirlah
ikko.alwais,https://www.instagram.com/ikko.alwais/,"Kita ini lagi ngomongin ekonomi makro, Saya buat analogi gini, ada suatu tempat macet karena rel kereta apiDan ekonomi di daerah berseberangan terganggu karena akses ke lokasinya kena macet ( org jadi males kesana)Di satu sisi, didaerah macet tadi ada 30 ruko yang ramepemerintah buat solusi untuk buat flyover / underpassResikonya :Toko yang 30 ini yang sudah ramai ini bisa jadi sepi, bisa juga surviveDisisi lain, Akibat arus lalu lintas dan logistik ini lancar, ekonomi ini bisa ngalir didua tempat merataPertanyaan ? Dalam sudut pandang makro, pemerintah pilih ambil yang mana? Mari diskusi yah 👌"
aquilaanandya,https://www.instagram.com/aquilaanandya/,lah kocak???
jarz_23r,https://www.instagram.com/jarz_23r/,baru belajar afiliate tiktok :) malah gini
prvyogo,https://www.instagram.com/prvyogo/,"Lu punya kebon, kebon lo ada hamanya, tapi bukannya lu cabut hamanya malah lo bakar kebun lo"
wiwitirawati_,https://www.instagram.com/wiwitirawati_/,Info yg bisa nafkahin seumur hidup 😭🙏🏻
mitaaaalfy,https://www.instagram.com/mitaaaalfy/,LOHHHHHH
okkiagemo,https://www.instagram.com/okkiagemo/,Gini kek daridulu
sundarisusanti,https://www.instagram.com/sundarisusanti/,yaaaahhh gabisa nntnin lg atuh
deandra_hari,https://www.instagram.com/deandra_hari/,bwencanaa
merlyn.ka,https://www.instagram.com/merlyn.ka/,"Point pertama bukan socmed dan e-commerce dalam satu platform, tapi produsen2 serakah bermodal gede turun langsung ke platform.Rantai perdagangan rusak krn dr produsen langsung konsumen.Tanah abang, retailer di toko & pasar2 mau ikut live sampe pagi jg dari harga udah kalah, siapa yg mau beli? Jd kalo cuma nantinya pisah aplikasi apa bedanya?Point kedua produsen indo & china yg turun ke platform bikin barang ga mikirin kualitas, asal jd asal mirip foto. Yg penting murah. Lah kok laku? Karena udah habbit orang indo suka barang palsu yg penting bisa gaya.Jd inti permasalahannya bukan platformnya."
anthonythio,https://www.instagram.com/anthonythio/,"coba pikir pak, banyak yang berubah hidupnya karen Tiktok. Zaman ga bisa di stop yang ada kita harus mengikuti perkembangan zaman. Dunia tidak berputar di Tanah abang aja pak, masih banyak jutaan UMKM yang bergantung di tiktok. 😢"
adefiqi,https://www.instagram.com/adefiqi/,gabisa liat tuan putri lagi dong
michiotakayuki,https://www.instagram.com/michiotakayuki/,"Orang udah mandiri ga minta bantuan pemerintah juga pas idup lagi susah, rejeki lancar jualan di tiktok, dilarang juga."
ara.zaira,https://www.instagram.com/ara.zaira/,Pan pan pan
dwi.afriyani,https://www.instagram.com/dwi.afriyani/,Seriusan?? Pdhl aku beralih ke tiktokshop biar gak tergiur sama paylater ditoko oren 😭😭😭
cintannaa,https://www.instagram.com/cintannaa/,"Mari kita lihat, apakah satu pekan kedepan tanah abang akan ramai kembali?"
ikaaaja_19,https://www.instagram.com/ikaaaja_19/,baru aku mau jual kamu:(
de.vilmo,https://www.instagram.com/de.vilmo/,Dejavu. Kyk Zaman Gojek/Grab mau masuk ganti ojek pangkalan. Menolak Teknologi = Negara Mundur. 🥹
afrcccc,https://www.instagram.com/afrcccc/,menurut gua artis yg jualan aja yg ditutup akun jualannya
alvin_tjondro,https://www.instagram.com/alvin_tjondro/,😢😢😢 kemunduran yg hakiki ..indonesia blm siap jd negara maju 😂
adyndaapr,https://www.instagram.com/adyndaapr/,Algoritma tiktok tai banget
ritaa96_,https://www.instagram.com/ritaa96_/,😮😮😮
ejerjeerr,https://www.instagram.com/ejerjeerr/,gua lebih setuju ga ada LIVE di tiktok sih karena skrg banyak bgt pengemis disitu😢
pamunqkasctr,https://www.instagram.com/pamunqkasctr/,🗿🗿🗿🗿🗿
faallolangi,https://www.instagram.com/faallolangi/,tuuukhaaan
nofiantara13,https://www.instagram.com/nofiantara13/,"Padahal harga murah tuh dapet subsidi dari tiktok nya. Saya sebagai salah satu seller yang jualan di tiktok ngerasain banget dampak positif nya. Pasang harga di 13rb, tapi ada buyer yang beli dengan harga 100 rupiah. Pemasukan nya ke saya ya harga normal. Yang di takutkan itu malah jadi blunder nih dengan ditutup nya tiktok shop"
gemafebrian,https://www.instagram.com/gemafebrian/,ANEH BIN AJAIB WKWKWKWKW NEGARA LAIN BERGERAK MAJU KITA BERGERAK MUNDUR WLWKWKWKWWLWLWLWLWLWLWLWWWLALWLWLWLW
veronicasundawa,https://www.instagram.com/veronicasundawa/,Dengan begini apakah menjamin pasar tanah abang itu rame???
sundarij_,https://www.instagram.com/sundarij_/,aduh baru juga mulai 👉👈
puspenkk,https://www.instagram.com/puspenkk/,😢
evikarlinaa,https://www.instagram.com/evikarlinaa/,
kaniii963,https://www.instagram.com/kaniii963/,aaagh padahal enak di tiktok
lamtiur_brh,https://www.instagram.com/lamtiur_brh/,Begimane nih
xavairving,https://www.instagram.com/xavairving/,kasian yang jualan di tiktok
setiawanfauzy,https://www.instagram.com/setiawanfauzy/,"sama aja, ntar juga masih jualan, cuma ga lewat tiktok belinya, backlink lewat 3rd party kayak oren, ijo dan sejenisnya"
t4jammm,https://www.instagram.com/t4jammm/,"Coba beli ke pedagang sekitar aja, meskipun harga lebih mahal.Setidaknya sudah bantu-bantu buat biaya rumah tangga, sekolah dan kebutuhan hidup lain nya."
danieladdani14_,https://www.instagram.com/danieladdani14_/,Gimana dengan akun boss saya   udah di banned sebelum ditarik saldonya yang lumayan gede😢
tiaktrn,https://www.instagram.com/tiaktrn/,Kenapa ngga umkm nya aja di seragamin masuk tiktokshop?
andnpriani_,https://www.instagram.com/andnpriani_/,oh iye sep
dhe.noke,https://www.instagram.com/dhe.noke/,mana bisaaaa.. lha wong di e-commerce aja ada jualan live nya kok 😂😂 malah user interface toko oren makin mirip medsos 🤣 berarti kan emang keberadaan medsos yg sekaligus tempat jualan (dan sebaliknya) ini semakin sulit dipisahkan.
aminah_zaahra,https://www.instagram.com/aminah_zaahra/,kenapa dilarang apa krn toko oren dan ijo merasa tersaingi? hehe
andriyanto19,https://www.instagram.com/andriyanto19/,Bisa ga ya yg dilarang jual produknya.klo mmg ada produk cina ya bs lah di kena bened si penjualnya..
furqon_1001,https://www.instagram.com/furqon_1001/,"Padahal yg jualan jg rakyatnya sendiri, jd siapa yg salah dan siapa yg bener"
gigih_galang07,https://www.instagram.com/gigih_galang07/,"kenapa gak di hapus sekalian aplikasi nya,biar gak ada yg joget-joget juga di tiktok apalagi lihat cowok-cowok tulang lunak ilfil lihat nya juga"
pangeranhdyt_,https://www.instagram.com/pangeranhdyt_/,Ini masalah paket gimana kalau udah di co😂
yessyers_,https://www.instagram.com/yessyers_/,aku harus gimana ini
asepeusleum,https://www.instagram.com/asepeusleum/,Baru ajah mau jual tuyul bekas 😢😢
rijaluddin_muhammad013,https://www.instagram.com/rijaluddin_muhammad013/,Nu iklan jeng transaksi judi online apa kabar om
upiiiiiii._,https://www.instagram.com/upiiiiiii._/,Pantes gak maju maju
denizoee,https://www.instagram.com/denizoee/,Regulasi nya aja sih harus nya yang di benahin
ardhmdhny,https://www.instagram.com/ardhmdhny/,"KEMUNDURAN !!!! , gak ush ngomong ikn mobil listrik , teknologi dan bla bla bla , kalo jualan aja gak mau mengikuti perkembangan zaman"
euodee,https://www.instagram.com/euodee/,ha? ini seriusan?
me_unn,https://www.instagram.com/me_unn/,moal bisa check out jg nonton pamajikan
jemynwp,https://www.instagram.com/jemynwp/,Peluang buat mark bikin Instagram shopp dahh wkwk
aiinugraha,https://www.instagram.com/aiinugraha/,Yahh kami yang tinggal di daerah timur bakalan susah beli barang yang ga ada di daerah kami
zheylla_momzee,https://www.instagram.com/zheylla_momzee/,"Yang bener yang artis jangan jualan di tiktokshop, bukan semua ga boleh 🙈 kan banyak rakyat kelas ke bawah mencari rejeki di sana"
febrianptrra,https://www.instagram.com/febrianptrra/,"jangan dlu, basreng gua blom nyampe"
arrri4syah,https://www.instagram.com/arrri4syah/,Michat tuh hapuss
prambayuh_,https://www.instagram.com/prambayuh_/,Loh what
drxwningintears_,https://www.instagram.com/drxwningintears_/,Rip misora
secondnyaanet,https://www.instagram.com/secondnyaanet/,yang km omongin kemaren nihh
rkdtmfrllll,https://www.instagram.com/rkdtmfrllll/,keranjang tiktokshop w blm ke check out
lulusqlsabila_,https://www.instagram.com/lulusqlsabila_/,
elis.tr96,https://www.instagram.com/elis.tr96/,yang merasa dirugikan😂
iamgals_,https://www.instagram.com/iamgals_/,Nyatanya masih jualan tuh
alwansaepulhidayat,https://www.instagram.com/alwansaepulhidayat/,Awas bentar lagi banyak yang nanyain info loker dahh 😢😢
dandiprajogo,https://www.instagram.com/dandiprajogo/,"Alhamdulillah project S gajadi di Indo, hidup ekonomi Indonesia, ekonomi yang bertumpu pada usaha masyarakat mikro💪"
rifqiandriii,https://www.instagram.com/rifqiandriii/,"knp ga product china aja yg dibatasi, seandainya tiktokshop ditutup emang yakin orang orang mau belanja di tanah abang sedangkan era skrng apa apa orang lebih memilih belanja online karena lebih murah & efisien. aku sebagai affiliator tiktokshop jg yg pendapatan utama aku dari situ , merasa terbantu bgt dengan adanya tiktokshop bukan cuma aku banyak juga temen temen yg merintis bahkan baru merintis yg terbantu perekonomiannya karena tiktokshop."
harmudi_hadi,https://www.instagram.com/harmudi_hadi/,"Gw Team yg gk pernah checkout di tiktokshop,"
jerindosanandreas,https://www.instagram.com/jerindosanandreas/,Udah bener tiktok bt joget2an aja. Ayo ke pasar 🛍️🙋🏻‍♂️
r4ddh.i,https://www.instagram.com/r4ddh.i/,alhamdulilah❤️
r.r.a.a.r.r.a.a,https://www.instagram.com/r.r.a.a.r.r.a.a/,barumo mulai lik
afifahamini_,https://www.instagram.com/afifahamini_/,Apakah aku harus chek out sebanya2ny skrg🥲
tasyaccc,https://www.instagram.com/tasyaccc/,?
cungsssss,https://www.instagram.com/cungsssss/,belum jualan udh d tutup pak 🤦🏻‍♂️
rennynoprianti,https://www.instagram.com/rennynoprianti/,Heeem
nzrzhh,https://www.instagram.com/nzrzhh/,host ketar ketirr huhuu ini juga bisa jdi nutup beberapa lapangan pekerjaan kayaa nutup lubang tapi tutup lubangg jugaaa
danarbagusetyo,https://www.instagram.com/danarbagusetyo/,"Gausah jualan, mandi lumpur aja disana!"
astidf,https://www.instagram.com/astidf/,taaa puss   😢
rakapjo,https://www.instagram.com/rakapjo/,raiso tuku kaos kaki meneh
giovannigwen,https://www.instagram.com/giovannigwen/,🫣🫣
ysminaztsma,https://www.instagram.com/ysminaztsma/,untung g jadi live
ayubgandhy,https://www.instagram.com/ayubgandhy/,"I think it’s not a solution. Well, government should have a regulation that makes a win win solution i guess"
carolinesmj__,https://www.instagram.com/carolinesmj__/,padahal banyak umkm jg yg jualan di tiktok shop trus ada kurir tiktokshop yg jadinya kehilangan pekerjaan. belum lagi affiliate yang walaupun cmn dapet dikit tp ya lumayan juga kalo tekun. nyari solusi dengan menimbulkan masalah baru sih namanya ya
imryn26,https://www.instagram.com/imryn26/,😮
ferdians.aljinazy17,https://www.instagram.com/ferdians.aljinazy17/,Harus upgrade diri bukan menyalahkan ini itu.. hadeuh 🤦🏻‍♂️🤦🏻‍♂️
dessyrraa_,https://www.instagram.com/dessyrraa_/,"Jelas saya tidak setuju, kalau peraturan ini resmi disahkan bapa juga sudah memutus rezeki banyak org yang sudah jualan di tiktok shop, yang adil dong pa kalau bikin aturan, urusin aja pinjol situs judi online yang jelas jelas haram , ini yg halal malah kena aturan ini itu 😌"
fawzia.ananda,https://www.instagram.com/fawzia.ananda/,Makin banyak pengangguran😂
pjwrntaa,https://www.instagram.com/pjwrntaa/,Baru aja kerja belum sebulan
rm_salsabiel,https://www.instagram.com/rm_salsabiel/,🙌🔥👏
andrayhan,https://www.instagram.com/andrayhan/,menolak untuk maju kalau gini. dari pada melarang kenapa gak kasih edukasi ke pedagang yang non online? takut rugi kah ngeluarin biaya? teknologi berkembang untuk mempermudah eh ini malah menolak wkwk
bramzsku,https://www.instagram.com/bramzsku/,Hayang seuri bari ngahuleung satarikna 😢
yumanraya_13,https://www.instagram.com/yumanraya_13/,Lucu2 aja pejabat ini🤣🤣
alvinaliev,https://www.instagram.com/alvinaliev/,Kebijakan goblok
salmomon,https://www.instagram.com/salmomon/,Bos minyak kehilangan sumber dong 😂
rasfira,https://www.instagram.com/rasfira/,"Sabar ya bestie, emang kamu ditakdirkan jajan di copiihhh"
michaelfarel13,https://www.instagram.com/michaelfarel13/,Liong
christopheradimas,https://www.instagram.com/christopheradimas/,"Inimah cuma statement t*l*l aja tapi menurut gue pribadi, pemerintah kita cuma mau membatasi/memperjelas pintu selling aja. Selling ya selling tapi mungkin disatuin jadi kalo mau jualan ya lewat e-commerce aja. Sedangkan social commerce ya buat bermedsos haha hihi aja ya paling jauh advertising/ngiklan lah, tp transaksinya ga disitu gituloh. Dengan segala akibat dari apapun langkah yg diambil, sejauh ini gue masih setuju sih. Biar jelas aja gitu pintunya, karna jujur sebagai pengguna social commerce ya gue berharap cuma liat hal"" lucu/infotainment/yaahh berita"" ringan-berat aja. Kalo jualan nah baru gue ke platform sebelah buat transaksi gitu."
amaliarzqy,https://www.instagram.com/amaliarzqy/,Yah gabisa lg dah lu belanja disitu
jsminejy,https://www.instagram.com/jsminejy/,Yah baru aja mau jual si   Cuma dengan harga 1000 plus gratis ongkir
fadli_azmi17,https://www.instagram.com/fadli_azmi17/,ini cuma solusi terbaik kebijakan yang bisa dikasih kemendag?   sungguh solutif sekali cuma karna 1 pasar  semua umkm seluruh Indonesia kena dampaknya. Menteri Perdagangan kalo gak paham Digitalisasi sebaiknya mundur atau bubar saja. 🙌
agiskakhansa,https://www.instagram.com/agiskakhansa/,Kata gue mah percuma
labinamz,https://www.instagram.com/labinamz/,hmm
a.heic,https://www.instagram.com/a.heic/,"jujur sbg seller, aku kebantu bgt selama ini pakai tiktokshop lebih gampang menjangkau audience daripda platform lain, meskipun dana penjualan cair lama??!🥺"
